sample,val
0.000000,0.726538
0.099800,0.678550
0.199601,0.135740
0.299401,1.236721
0.399202,1.352558
0.499002,0.419794
0.598802,0.523817
0.698603,0.743188
0.798403,0.693326
0.898204,0.578917
0.998004,1.593956
1.097804,1.539151
1.197605,0.492426
1.297405,0.487700
1.397206,0.240725
1.497006,0.753920
1.596806,0.709999
1.696607,0.352768
1.796407,1.463470
1.896208,1.116197
1.996008,0.463345
2.095808,0.535228
2.195609,0.957042
2.295409,1.453288
2.395210,0.977069
2.495010,1.532170
2.594810,1.560239
2.694611,0.413248
2.794411,0.465553
2.894212,0.265840
2.994012,0.735982
3.093812,0.753915
3.193613,0.566652
3.293413,0.117471
3.393214,1.318974
3.493014,1.319791
3.592814,0.493272
3.692615,0.596196
3.792415,0.771601
3.892216,1.047799
3.992016,0.651461
4.091816,1.682034
4.191617,1.403896
4.291417,0.539147
4.391218,0.535276
4.491018,0.060526
4.590818,0.794648
4.690619,0.731167
4.790419,0.498493
4.890220,1.862520
4.990020,0.827315
5.089820,0.488817
5.189621,0.603262
5.289421,1.109908
5.389222,1.790934
5.489022,1.111821
5.588822,1.780000
5.688623,1.476021
5.788423,0.513603
5.888224,0.489873
5.988024,0.038730
6.087824,0.847142
6.187625,0.881866
6.287425,0.380020
6.387226,0.071242
6.487026,1.538358
6.586826,1.007060
6.686627,0.457624
6.786427,0.621349
6.886228,1.099238
6.986028,1.451258
7.085828,0.976231
7.185629,2.408171
7.285429,1.790360
7.385230,0.931792
7.485030,0.716268
7.584830,0.209206
7.684631,0.992298
7.784431,0.605450
7.884232,0.410378
7.984032,1.714822
8.083832,0.722588
8.183633,0.627417
8.283433,0.974108
8.383234,1.563595
8.483034,3.125454
8.582834,1.607447
8.682635,1.987488
8.782435,1.593268
8.882236,0.635727
8.982036,0.629366
9.081836,0.248841
9.181637,1.085785
9.281437,1.170339
9.381238,0.427181
9.481038,0.111353
9.580838,1.854642
9.680639,1.229660
9.780439,0.825773
9.880240,1.067557
9.980040,1.389326
10.079840,2.923234
10.179641,1.144623
10.279441,2.411875
10.379242,1.525313
10.479042,1.040135
10.578842,1.063808
10.678643,0.907474
10.778443,1.414384
10.878244,1.131066
10.978044,0.639375
11.077844,2.560564
11.177645,0.464181
11.277445,1.038666
11.377246,1.898320
11.477046,2.617212
11.576846,5.841167
11.676647,2.482596
11.776447,2.796695
11.876248,1.722542
11.976048,1.228428
12.075848,1.495111
12.175649,1.539911
12.275449,1.936779
12.375250,2.207613
12.475050,2.232933
12.574850,1.833357
12.674651,0.630249
12.774451,2.865061
12.874251,1.304047
12.974052,1.835210
13.073852,3.296943
13.173653,4.030079
13.273453,8.555467
13.373253,2.398054
13.473054,3.802938
13.572854,2.444481
13.672655,3.017870
13.772455,4.789259
13.872255,5.325986
13.972056,5.205898
14.071856,6.517597
14.171657,3.565713
14.271457,6.317512
14.371257,7.493885
14.471058,9.450806
14.570858,22.772312
14.670659,29.384298
14.770459,116.811010
14.870259,62.789796
14.970060,22.155616
15.069860,19.892840
15.169661,11.598333
15.269461,17.974319
15.369261,14.412135
15.469062,7.371536
15.568862,7.258951
15.668663,9.417637
15.768463,5.294590
15.868263,4.860476
15.968064,6.375107
16.067864,4.572970
16.167665,8.152981
16.267465,5.312053
16.367265,11.335995
16.467066,1.237629
16.566866,6.471357
16.666667,4.705157
16.766467,1.060345
16.866267,4.416610
16.966068,3.745667
17.065868,2.424090
17.165669,3.752726
17.265469,3.310490
17.365269,6.123810
17.465070,3.768200
17.564870,3.033316
17.664671,5.656814
17.764471,4.275429
17.864271,8.030528
17.964072,2.914223
18.063872,11.516630
18.163673,6.584222
18.263473,0.555015
18.363273,3.344953
18.463074,2.091234
18.562874,5.116481
18.662675,5.430429
18.762475,2.845145
18.862275,7.522909
18.962076,15.178821
19.061876,5.700623
19.161677,4.730888
19.261477,9.709653
19.361277,14.668310
19.461078,7.021168
19.560878,27.325961
19.660679,89.975249
19.760479,73.740198
19.860279,52.497649
19.960080,28.404161
20.059880,17.403695
20.159681,25.291327
20.259481,7.679481
20.359281,14.990645
20.459082,22.872096
20.558882,5.848697
20.658683,2.499658
20.758483,3.084848
20.858283,9.105566
20.958084,5.964704
21.057884,9.586965
21.157685,16.992077
21.257485,7.125319
21.357285,1.738064
21.457086,0.537298
21.556886,3.440433
21.656687,5.336960
21.756487,5.042726
21.856287,3.296788
21.956088,3.911777
22.055888,6.508281
22.155689,3.312698
22.255489,0.547069
22.355289,0.475969
22.455090,4.306920
22.554890,3.453340
22.654691,4.440262
22.754491,7.692868
22.854291,3.206831
22.954092,0.852915
23.053892,1.382411
23.153693,2.898518
23.253493,3.413414
23.353293,3.342324
23.453094,3.225974
23.552894,2.125806
23.652695,2.677758
23.752495,0.175222
23.852295,0.592207
23.952096,3.007419
24.051896,3.872417
24.151697,3.525837
24.251497,5.126836
24.351297,2.523167
24.451098,0.539725
24.550898,1.534620
24.650699,2.822824
24.750499,3.064508
24.850299,3.077748
24.950100,3.077690
25.049900,3.215180
25.149701,2.367983
25.249501,2.554320
25.349301,2.836895
25.449102,0.300876
25.548902,1.489585
25.648703,3.094616
25.748503,3.681909
25.848303,3.081035
25.948104,3.861433
26.047904,2.467100
26.147705,0.298099
26.247505,2.498570
26.347305,3.353248
26.447106,3.478049
26.546906,4.436845
26.646707,3.427643
26.746507,0.374927
26.846307,3.181774
26.946108,0.169818
27.045908,2.147126
27.145709,3.267211
27.245509,4.740070
27.345309,3.587968
27.445110,3.009147
27.544910,2.910937
27.644711,0.641476
27.744511,3.833505
27.844311,4.529591
27.944112,4.707399
28.043912,5.007511
28.143713,6.312829
28.243513,4.356925
28.343313,1.326092
28.443114,4.981200
28.542914,1.487920
28.642715,5.777463
28.742515,6.670090
28.842315,8.921060
28.942116,6.912057
29.041916,2.600568
29.141717,6.918018
29.241517,5.311770
29.341317,15.130746
29.441118,15.245565
29.540918,24.764519
29.640719,46.175268
29.740519,58.284134
29.840319,96.959039
29.940120,53.538821
30.039920,21.526620
30.139721,24.408257
30.239521,16.190654
30.339321,18.070027
30.439122,8.962740
30.538922,2.460683
30.638723,9.346981
30.738523,6.750379
30.838323,8.596517
30.938124,4.717329
31.037924,5.686493
31.137725,5.382462
31.237525,7.997415
31.337325,4.184447
31.437126,2.500627
31.536926,7.411470
31.636727,4.400699
31.736527,3.724094
31.836327,2.590954
31.936128,5.748494
32.035928,2.118394
32.135729,2.931916
32.235529,7.933762
32.335329,4.626879
32.435130,3.099808
32.534930,3.023421
32.634731,3.232839
32.734531,7.348901
32.834331,3.255771
32.934132,3.959230
33.033932,11.683274
33.133733,5.120188
33.233533,1.336964
33.333333,1.467462
33.433134,8.102988
33.532934,1.387009
33.632735,4.261388
33.732535,16.515695
33.832335,7.330539
33.932136,1.987587
34.031936,9.736307
34.131737,7.129618
34.231537,7.266959
34.331337,24.244639
34.431138,2.812418
34.530938,17.326260
34.630739,94.960651
34.730539,62.638468
34.830339,30.504912
34.930140,30.760021
35.029940,47.904320
35.129741,1.430252
35.229541,12.581409
35.329341,36.954837
35.429142,9.501443
35.528942,1.526317
35.628743,10.388871
35.728543,5.544444
35.828343,12.078941
35.928144,1.083073
36.027944,5.589757
36.127745,15.847691
36.227545,5.096119
36.327345,1.199088
36.427146,2.102345
36.526946,4.044053
36.626747,0.644305
36.726547,3.041190
36.826347,9.303013
36.926148,2.382520
37.025948,1.058836
37.125749,3.748570
37.225549,2.548963
37.325349,2.264096
37.425150,2.239204
37.524950,4.570824
37.624750,0.314069
37.724551,2.519527
37.824351,7.037448
37.924152,2.081091
38.023952,1.122407
38.123752,1.235375
38.223553,1.939392
38.323353,0.448021
38.423154,2.130183
38.522954,5.034324
38.622754,1.112233
38.722555,0.897398
38.822355,2.058768
38.922156,1.580612
39.021956,2.857657
39.121756,0.682898
39.221557,2.196959
39.321357,4.481613
39.421158,1.410940
39.520958,0.765044
39.620758,1.144193
39.720559,0.718705
39.820359,0.804349
39.920160,1.700218
40.019960,3.852660
40.119760,0.801823
40.219561,0.803420
40.319361,1.630111
40.419162,1.265433
40.518962,1.188918
40.618762,2.153547
40.718563,0.257563
40.818363,1.631175
40.918164,3.830534
41.017964,1.242483
41.117764,0.971176
41.217565,0.667573
41.317365,0.721546
41.417166,0.441854
41.516966,1.607159
41.616766,2.669803
41.716567,0.539700
41.816367,0.741484
41.916168,1.068217
42.015968,1.039303
42.115768,1.690466
42.215569,0.719685
42.315369,2.000021
42.415170,2.485934
42.514970,0.855267
42.614770,0.521911
42.714571,0.842092
42.814371,0.478284
42.914172,0.679532
43.013972,1.546707
43.113772,2.433326
43.213573,0.500855
43.313373,0.590652
43.413174,0.883984
43.512974,0.901920
43.612774,0.872729
43.712575,1.270742
43.812375,0.173710
43.912176,1.385820
44.011976,2.260004
44.111776,0.646235
44.211577,0.649493
44.311377,0.724610
44.411178,0.464265
44.510978,0.619315
44.610778,2.019315
44.710579,2.349555
44.810379,0.685978
44.910180,0.513384
45.009980,0.763202
45.109780,0.908573
45.209581,1.184400
45.309381,0.497668
45.409182,1.400792
45.508982,1.861659
45.608782,0.616450
45.708583,0.512609
45.808383,0.839817
45.908184,0.782854
46.007984,0.719906
46.107784,1.332918
46.207585,2.014219
46.307385,0.418371
46.407186,0.528909
46.506986,0.703075
46.606786,0.812603
46.706587,0.802881
46.806387,1.066435
46.906188,0.167496
47.005988,1.277161
47.105788,2.329054
47.205589,0.891113
47.305389,0.788150
47.405190,0.470530
47.504990,0.785748
47.604790,0.475656
47.704591,1.412876
47.804391,1.496896
47.904192,0.428180
48.003992,0.542027
48.103792,0.396677
48.203593,0.743210
48.303393,0.936633
48.403194,0.541709
48.502994,1.669379
48.602794,1.255898
48.702595,0.499996
48.802395,0.450164
48.902196,0.823038
49.001996,0.956284
49.101796,0.775661
49.201597,1.456386
49.301397,1.604412
49.401198,0.401307
49.500998,0.463651
49.600798,0.363901
49.700599,0.720894
49.800399,0.726332
49.900200,0.000049
